direction,coherence,reversal,duration,finalDuration
0,-1,0.2,0.25,NaN
180,0,0.2,0.4,NaN
0,0,0.0,0.4,NaN
180,-1,0.2,0.25,NaN
180,-1,0.0,0.2,NaN
180,0,0.2,0.6,NaN
0,0,0.2,0.6,NaN
0,-1,0.0,0.3,NaN
180,-1,0.2,0.25,NaN
0,0,0.0,0.25,NaN
180,0,0.2,0.25,NaN
0,0,0.2,0.25,NaN
180,0,0.2,0.25,NaN
180,0,0.2,0.3,NaN
0,100,0.2,0.4,NaN
0,-1,0.0,0.2,NaN
0,-1,0.2,0.25,NaN
180,-1,0.0,0.2,NaN
0,0,0.0,0.2,NaN
180,-1,0.2,0.3,NaN
180,0,0.2,0.3,NaN
180,0,0.2,0.3,NaN
0,0,0.2,0.25,NaN
0,0,0.2,0.4,NaN
180,-1,0.2,0.25,NaN
0,-1,0.2,0.25,NaN
0,-1,0.2,0.4,NaN
0,-1,0.0,0.1,NaN
0,-1,0.0,0.2,NaN
180,0,0.2,0.3,NaN
180,-1,0.2,0.4,NaN
180,-1,0.2,0.6,NaN
180,0,0.2,0.25,NaN
0,0,0.0,0.1,NaN
0,0,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
180,-1,0.2,0.4,NaN
0,0,0.0,0.1,NaN
180,0,0.2,0.4,NaN
0,-1,0.2,0.3,NaN
180,-1,0.2,0.3,NaN
180,-1,0.2,0.25,NaN
180,-1,0.0,0.1,NaN
0,-1,0.0,0.1,NaN
180,100,0.2,0.25,NaN
0,0,0.2,0.25,NaN
180,-1,0.2,0.6,NaN
0,-1,0.2,0.3,NaN
0,0,0.2,0.25,NaN
0,0,0.2,0.4,NaN
0,-1,0.0,0.1,NaN
180,-1,0.2,0.25,NaN
180,0,0.0,0.1,NaN
180,0,0.0,0.1,NaN
0,0,0.2,0.3,NaN
180,0,0.2,0.4,NaN
0,-1,0.0,0.1,NaN
0,-1,0.2,0.25,NaN
0,0,0.2,0.3,NaN
0,0,0.2,0.25,NaN
180,0,0.0,0.3,NaN
180,-1,0.2,0.25,NaN
180,-1,0.0,0.4,NaN
180,0,0.0,0.1,NaN
180,-1,0.2,0.3,NaN
0,-1,0.0,0.1,NaN
180,-1,0.2,0.3,NaN
0,-1,0.0,0.1,NaN
180,0,0.0,0.1,NaN
180,-1,0.0,0.3,NaN
0,0,0.2,0.6,NaN
0,0,0.2,0.6,NaN
180,0,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
0,-1,0.2,0.3,NaN
0,-1,0.0,0.1,NaN
180,0,0.2,0.4,NaN
180,-1,0.2,0.3,NaN
0,-1,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
180,0,0.2,0.4,NaN
180,100,0.2,0.25,NaN
180,-1,0.0,0.1,NaN
0,-1,0.0,0.2,NaN
0,100,0.2,0.25,NaN
180,100,0.2,0.6,NaN
0,-1,0.2,0.25,NaN
0,0,0.2,0.4,NaN
0,-1,0.2,0.3,NaN
0,0,0.2,0.25,NaN
180,-1,0.2,0.25,NaN
180,0,0.2,0.25,NaN
180,-1,0.2,0.25,NaN
0,0,0.2,0.25,NaN
0,-1,0.0,0.1,NaN
180,-1,0.2,0.25,NaN
180,-1,0.0,0.25,NaN
180,-1,0.2,0.3,NaN
0,100,0.2,0.4,NaN
180,-1,0.0,0.3,NaN
0,-1,0.2,0.3,NaN
180,0,0.0,0.4,NaN
180,-1,0.2,0.3,NaN
180,-1,0.0,0.4,NaN
180,-1,0.2,0.4,NaN
180,0,0.2,0.3,NaN
0,-1,0.2,0.6,NaN
0,-1,0.0,0.2,NaN
180,-1,0.2,0.6,NaN
180,0,0.2,0.4,NaN
0,0,0.2,0.25,NaN
180,-1,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
180,-1,0.2,0.25,NaN
180,-1,0.0,0.6,NaN
180,0,0.2,0.4,NaN
0,0,0.0,0.2,NaN
0,0,0.0,0.1,NaN
0,-1,0.2,0.25,NaN
0,-1,0.2,0.4,NaN
180,-1,0.0,0.1,NaN
0,-1,0.0,0.3,NaN
180,0,0.2,0.25,NaN
180,0,0.2,0.6,NaN
180,-1,0.0,0.3,NaN
180,0,0.2,0.3,NaN
0,0,0.2,0.25,NaN
180,-1,0.2,0.25,NaN
0,0,0.2,0.4,NaN
180,-1,0.2,0.3,NaN
180,-1,0.2,0.4,NaN
0,-1,0.2,0.4,NaN
0,0,0.2,0.6,NaN
180,0,0.0,0.25,NaN
180,100,0.2,0.25,NaN
180,-1,0.2,0.3,NaN
180,-1,0.2,0.25,NaN
180,0,0.2,0.25,NaN
0,-1,0.2,0.3,NaN
180,-1,0.0,0.25,NaN
180,-1,0.2,0.4,NaN
0,0,0.2,0.25,NaN
0,-1,0.2,0.4,NaN
0,-1,0.2,0.3,NaN
180,-1,0.0,0.1,NaN
0,0,0.2,0.25,NaN
0,0,0.2,0.4,NaN
0,0,0.2,0.3,NaN
180,-1,0.0,0.1,NaN
180,-1,0.2,0.25,NaN
0,-1,0.2,0.25,NaN
0,-1,0.0,0.25,NaN
0,0,0.2,0.3,NaN
0,100,0.0,0.4,NaN
0,-1,0.2,0.3,NaN
180,0,0.2,0.25,NaN
0,-1,0.0,0.2,NaN
180,-1,0.2,0.4,NaN
180,0,0.2,0.4,NaN
180,-1,0.2,0.4,NaN
180,-1,0.2,0.25,NaN
180,-1,0.2,0.25,NaN
0,0,0.2,0.3,NaN
0,0,0.2,0.4,NaN
180,-1,0.2,0.25,NaN
0,-1,0.2,0.4,NaN
180,-1,0.2,0.25,NaN
180,-1,0.0,0.1,NaN
0,-1,0.2,0.4,NaN
180,0,0.2,0.3,NaN
180,0,0.2,0.3,NaN
0,-1,0.0,0.2,NaN
180,-1,0.2,0.25,NaN
0,-1,0.2,0.4,NaN
0,0,0.2,0.25,NaN
180,-1,0.2,0.3,NaN
180,-1,0.0,0.2,NaN
180,-1,0.2,0.4,NaN
0,0,0.2,0.4,NaN
0,-1,0.2,0.3,NaN
0,-1,0.0,0.1,NaN
0,-1,0.0,0.1,NaN
0,-1,0.0,0.25,NaN
0,0,0.2,0.3,NaN
180,0,0.0,0.1,NaN
180,0,0.0,0.2,NaN
0,0,0.2,0.3,NaN
0,100,0.2,0.6,NaN
0,-1,0.2,0.25,NaN
180,100,0.2,0.3,NaN
180,-1,0.2,0.4,NaN
0,0,0.0,0.2,NaN
180,-1,0.0,0.1,NaN
0,-1,0.2,0.4,NaN
0,-1,0.2,0.3,NaN
0,-1,0.2,0.3,NaN
0,-1,0.2,0.4,NaN
0,0,0.2,0.4,NaN
180,-1,0.0,0.2,NaN
0,-1,0.0,0.2,NaN
0,-1,0.2,0.4,NaN
0,0,0.2,0.3,NaN
0,0,0.0,0.4,NaN
180,0,0.0,0.25,NaN
0,-1,0.2,0.25,NaN
180,0,0.2,0.4,NaN
0,100,0.2,0.3,NaN
180,0,0.2,0.3,NaN
180,-1,0.2,0.4,NaN
180,0,0.0,0.1,NaN
0,-1,0.2,0.4,NaN
180,-1,0.2,0.25,NaN
0,0,0.2,0.25,NaN
180,-1,0.0,0.3,NaN
180,0,0.2,0.3,NaN
180,-1,0.0,0.2,NaN
0,-1,0.2,0.4,NaN
180,-1,0.2,0.25,NaN
180,-1,0.0,0.25,NaN
0,-1,0.2,0.6,NaN
180,100,0.2,0.4,NaN
0,0,0.0,0.3,NaN
0,-1,0.2,0.3,NaN
180,0,0.0,0.2,NaN
180,-1,0.2,0.25,NaN
0,0,0.2,0.4,NaN
180,0,0.0,0.3,NaN
180,0,0.0,0.25,NaN
180,-1,0.0,0.4,NaN
180,100,0.0,0.4,NaN
0,-1,0.2,0.4,NaN
180,0,0.2,0.25,NaN
0,0,0.0,0.2,NaN
0,-1,0.2,0.4,NaN
0,-1,0.2,0.3,NaN
180,0,0.2,0.25,NaN
180,100,0.0,0.2,NaN
180,-1,0.0,0.1,NaN
0,0,0.2,0.4,NaN
180,0,0.2,0.4,NaN
0,0,0.0,0.1,NaN
0,-1,0.2,0.3,NaN
180,-1,0.2,0.25,NaN
0,-1,0.2,0.4,NaN
0,-1,0.2,0.6,NaN
0,0,0.2,0.4,NaN
0,-1,0.2,0.25,NaN
0,-1,0.2,0.3,NaN
0,-1,0.0,0.2,NaN
0,-1,0.2,0.3,NaN
180,0,0.0,0.2,NaN
180,0,0.2,0.4,NaN
0,0,0.2,0.4,NaN
180,-1,0.2,0.25,NaN
180,0,0.0,0.25,NaN
180,0,0.2,0.3,NaN
0,-1,0.2,0.4,NaN
0,100,0.0,0.25,NaN
180,0,0.2,0.6,NaN
180,0,0.0,0.1,NaN
0,0,0.2,0.3,NaN
0,-1,0.0,0.25,NaN
0,-1,0.0,0.25,NaN
0,-1,0.2,0.3,NaN
0,0,0.2,0.3,NaN
0,-1,0.0,0.4,NaN
0,100,0.2,0.3,NaN
180,-1,0.2,0.25,NaN
180,0,0.0,0.2,NaN
0,0,0.0,0.25,NaN
0,0,0.0,0.2,NaN
0,-1,0.2,0.6,NaN
180,100,0.2,0.6,NaN
0,0,0.0,0.2,NaN
180,-1,0.2,0.25,NaN
180,0,0.2,0.25,NaN
180,-1,0.2,0.25,NaN
0,-1,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
180,-1,0.2,0.25,NaN
180,-1,0.2,0.25,NaN
0,-1,0.0,0.2,NaN
180,0,0.2,0.25,NaN
180,-1,0.2,0.25,NaN
0,0,0.2,0.6,NaN
0,0,0.2,0.3,NaN
0,0,0.2,0.4,NaN
180,0,0.0,0.2,NaN
180,0,0.2,0.25,NaN
0,0,0.2,0.25,NaN
180,0,0.2,0.6,NaN
180,-1,0.2,0.4,NaN
180,-1,0.2,0.25,NaN
0,-1,0.2,0.25,NaN
0,0,0.2,0.3,NaN
0,-1,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
0,-1,0.2,0.3,NaN
180,0,0.2,0.4,NaN
180,-1,0.2,0.25,NaN
0,-1,0.0,0.1,NaN
0,-1,0.2,0.4,NaN
0,0,0.2,0.3,NaN
180,-1,0.2,0.3,NaN
180,-1,0.2,0.4,NaN
0,-1,0.2,0.4,NaN
0,0,0.2,0.3,NaN
0,-1,0.2,0.3,NaN
0,0,0.2,0.25,NaN
0,-1,0.0,0.2,NaN
0,-1,0.2,0.25,NaN
180,0,0.2,0.3,NaN
180,-1,0.2,0.4,NaN
0,0,0.2,0.3,NaN
0,-1,0.2,0.4,NaN
0,-1,0.2,0.4,NaN
0,0,0.2,0.6,NaN
180,-1,0.2,0.25,NaN
180,0,0.2,0.3,NaN
180,0,0.0,0.25,NaN
180,0,0.2,0.25,NaN
0,-1,0.0,0.1,NaN
180,-1,0.2,0.6,NaN
180,-1,0.2,0.4,NaN
180,-1,0.2,0.3,NaN
0,-1,0.2,0.3,NaN
0,-1,0.2,0.3,NaN
180,-1,0.2,0.3,NaN
180,-1,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
180,0,0.2,0.3,NaN
180,0,0.0,0.2,NaN
180,-1,0.0,0.1,NaN
180,0,0.2,0.4,NaN
0,0,0.2,0.25,NaN
0,0,0.2,0.3,NaN
0,0,0.0,0.4,NaN
180,-1,0.2,0.6,NaN
0,0,0.2,0.4,NaN
180,-1,0.2,0.3,NaN
180,0,0.2,0.4,NaN
180,0,0.0,0.25,NaN
180,-1,0.2,0.25,NaN
0,-1,0.0,0.1,NaN
0,-1,0.2,0.3,NaN
180,-1,0.2,0.3,NaN
180,-1,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
0,0,0.0,0.1,NaN
180,0,0.0,0.3,NaN
0,-1,0.2,0.4,NaN
0,0,0.2,0.4,NaN
180,-1,0.0,0.3,NaN
0,0,0.2,0.3,NaN
0,-1,0.2,0.4,NaN
180,-1,0.0,0.2,NaN
180,-1,0.2,0.4,NaN
180,0,0.0,0.2,NaN
0,-1,0.2,0.6,NaN
0,0,0.0,0.1,NaN
0,0,0.2,0.3,NaN
0,0,0.0,0.2,NaN
180,0,0.2,0.25,NaN
180,-1,0.0,0.2,NaN
0,-1,0.2,0.25,NaN
180,-1,0.2,0.3,NaN
0,0,0.2,0.6,NaN
180,0,0.0,0.4,NaN
0,-1,0.2,0.25,NaN
180,0,0.2,0.3,NaN
180,0,0.2,0.3,NaN
180,0,0.2,0.25,NaN
180,-1,0.0,0.25,NaN
180,0,0.2,0.6,NaN
0,-1,0.2,0.3,NaN
180,0,0.0,0.2,NaN
180,0,0.2,0.25,NaN
0,-1,0.0,0.25,NaN
0,0,0.2,0.3,NaN
0,0,0.0,0.25,NaN
180,100,0.0,0.4,NaN
0,-1,0.0,0.2,NaN
0,-1,0.2,0.25,NaN
180,0,0.0,0.25,NaN
0,-1,0.0,0.2,NaN
180,-1,0.2,0.3,NaN
180,-1,0.2,0.25,NaN
180,-1,0.0,0.3,NaN
0,-1,0.2,0.4,NaN
0,0,0.2,0.25,NaN
0,100,0.0,0.4,NaN
180,-1,0.0,0.2,NaN
0,0,0.0,0.25,NaN
180,-1,0.2,0.3,NaN
180,-1,0.2,0.25,NaN
0,-1,0.2,0.3,NaN
180,-1,0.2,0.4,NaN
180,0,0.2,0.3,NaN
0,0,0.0,0.2,NaN
0,0,0.2,0.25,NaN
180,0,0.2,0.4,NaN
0,-1,0.0,0.2,NaN
0,-1,0.0,0.1,NaN
0,-1,0.2,0.4,NaN
180,100,0.0,0.1,NaN
180,-1,0.2,0.3,NaN
0,0,0.2,0.4,NaN
0,-1,0.0,0.1,NaN
0,-1,0.2,0.25,NaN
180,-1,0.2,0.25,NaN
180,-1,0.2,0.25,NaN
180,-1,0.2,0.3,NaN
0,0,0.2,0.3,NaN
180,0,0.2,0.3,NaN
180,0,0.0,0.2,NaN
180,-1,0.0,0.25,NaN
0,-1,0.2,0.4,NaN
0,-1,0.2,0.25,NaN
180,-1,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
180,0,0.2,0.25,NaN
0,-1,0.2,0.4,NaN
180,-1,0.0,0.2,NaN
180,-1,0.0,0.3,NaN
0,-1,0.2,0.25,NaN
180,0,0.2,0.3,NaN
0,0,0.2,0.4,NaN
0,0,0.2,0.25,NaN
0,-1,0.2,0.6,NaN
180,-1,0.2,0.4,NaN
180,-1,0.0,0.4,NaN
0,-1,0.0,0.1,NaN
0,-1,0.2,0.25,NaN
0,-1,0.0,0.4,NaN
0,-1,0.2,0.3,NaN
0,0,0.2,0.4,NaN
0,-1,0.2,0.4,NaN
180,-1,0.2,0.25,NaN
180,0,0.2,0.3,NaN
180,-1,0.2,0.25,NaN
0,0,0.0,0.1,NaN
180,-1,0.0,0.1,NaN
0,0,0.2,0.4,NaN
0,0,0.2,0.4,NaN
180,0,0.2,0.25,NaN
0,-1,0.2,0.3,NaN
0,-1,0.2,0.4,NaN
0,-1,0.0,0.2,NaN
0,-1,0.0,0.1,NaN
0,0,0.2,0.3,NaN
0,-1,0.0,0.3,NaN
180,-1,0.2,0.3,NaN
0,-1,0.0,0.1,NaN
180,0,0.0,0.1,NaN
180,0,0.2,0.3,NaN
0,-1,0.2,0.4,NaN
180,0,0.0,0.1,NaN
180,0,0.0,0.2,NaN
180,-1,0.2,0.4,NaN
180,-1,0.2,0.3,NaN
0,-1,0.2,0.4,NaN
180,-1,0.0,0.3,NaN
180,0,0.0,0.1,NaN
0,0,0.2,0.3,NaN
180,-1,0.0,0.2,NaN
0,100,0.2,0.25,NaN
0,-1,0.0,0.2,NaN
0,-1,0.2,0.3,NaN
0,-1,0.0,0.2,NaN
180,0,0.2,0.4,NaN
0,0,0.0,0.2,NaN
0,0,0.2,0.25,NaN
0,-1,0.0,0.1,NaN
180,0,0.2,0.25,NaN
180,-1,0.2,0.3,NaN
0,0,0.2,0.3,NaN
180,-1,0.2,0.3,NaN
180,0,0.2,0.4,NaN
180,0,0.0,0.2,NaN
180,-1,0.2,0.25,NaN
180,-1,0.2,0.3,NaN
0,-1,0.2,0.4,NaN
0,-1,0.2,0.3,NaN
180,-1,0.2,0.4,NaN
0,100,0.0,0.3,NaN
180,-1,0.2,0.25,NaN
0,0,0.0,0.4,NaN
180,-1,0.2,0.3,NaN
0,-1,0.2,0.3,NaN
180,-1,0.2,0.3,NaN
180,-1,0.0,0.2,NaN
0,100,0.0,0.25,NaN
0,0,0.0,0.2,NaN
180,-1,0.0,0.2,NaN
180,-1,0.2,0.25,NaN
0,-1,0.2,0.4,NaN
0,0,0.2,0.25,NaN
180,-1,0.0,0.1,NaN
180,-1,0.2,0.3,NaN
180,-1,0.2,0.4,NaN
0,-1,0.2,0.4,NaN
180,-1,0.2,0.6,NaN
0,0,0.2,0.3,NaN
180,0,0.0,0.2,NaN
0,0,0.2,0.4,NaN
0,0,0.0,0.3,NaN
180,-1,0.2,0.4,NaN
0,-1,0.2,0.4,NaN
0,0,0.2,0.4,NaN
180,-1,0.2,0.3,NaN
0,-1,0.0,0.2,NaN
0,-1,0.0,0.4,NaN
180,-1,0.0,0.1,NaN
0,0,0.2,0.4,NaN
0,-1,0.2,0.4,NaN
0,-1,0.0,0.1,NaN
180,-1,0.2,0.3,NaN
180,-1,0.0,0.1,NaN
0,0,0.0,0.1,NaN
180,0,0.2,0.25,NaN
0,-1,0.2,0.3,NaN
180,-1,0.2,0.3,NaN
180,0,0.2,0.3,NaN
180,100,0.0,0.3,NaN
180,0,0.0,0.3,NaN
180,-1,0.0,0.1,NaN
0,0,0.0,0.1,NaN
180,0,0.2,0.4,NaN
0,-1,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
180,0,0.0,0.1,NaN
180,-1,0.2,0.4,NaN
180,-1,0.0,0.1,NaN
180,100,0.2,0.25,NaN
0,-1,0.2,0.6,NaN
0,100,0.0,0.1,NaN
0,-1,0.2,0.25,NaN
180,100,0.2,0.25,NaN
180,100,0.0,0.4,NaN
0,0,0.2,0.4,NaN
180,-1,0.2,0.3,NaN
180,0,0.0,0.2,NaN
0,-1,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
180,0,0.2,0.4,NaN
0,-1,0.0,0.25,NaN
0,-1,0.2,0.3,NaN
180,0,0.2,0.6,NaN
0,-1,0.2,0.25,NaN
180,0,0.2,0.4,NaN
180,-1,0.2,0.3,NaN
0,-1,0.0,0.2,NaN
0,-1,0.2,0.25,NaN
0,0,0.2,0.3,NaN
180,0,0.2,0.4,NaN
0,0,0.2,0.4,NaN
180,100,0.2,0.3,NaN
180,0,0.0,0.3,NaN
0,-1,0.0,0.1,NaN
180,0,0.2,0.4,NaN
180,0,0.2,0.3,NaN
0,100,0.2,0.4,NaN
0,-1,0.0,0.1,NaN
0,-1,0.2,0.3,NaN
0,0,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
180,0,0.2,0.3,NaN
180,0,0.0,0.2,NaN
180,0,0.0,0.2,NaN
180,-1,0.0,0.2,NaN
180,-1,0.2,0.3,NaN
180,0,0.0,0.1,NaN
0,-1,0.2,0.25,NaN
180,-1,0.0,0.4,NaN
180,0,0.2,0.4,NaN
0,0,0.0,0.2,NaN
180,0,0.2,0.4,NaN
0,0,0.2,0.3,NaN
180,-1,0.2,0.3,NaN
180,0,0.2,0.25,NaN
180,-1,0.2,0.25,NaN
0,-1,0.2,0.4,NaN
180,-1,0.0,0.2,NaN
0,100,0.2,0.4,NaN
0,-1,0.2,0.3,NaN
180,100,0.0,0.2,NaN
180,0,0.2,0.4,NaN
0,0,0.2,0.4,NaN
180,-1,0.2,0.4,NaN
180,-1,0.2,0.6,NaN
180,0,0.2,0.25,NaN
180,-1,0.2,0.3,NaN
0,0,0.0,0.1,NaN
180,-1,0.0,0.1,NaN
180,-1,0.0,0.4,NaN
0,-1,0.0,0.2,NaN
0,0,0.2,0.4,NaN
180,0,0.2,0.25,NaN
0,-1,0.2,0.4,NaN
0,0,0.0,0.2,NaN
0,-1,0.2,0.25,NaN
0,0,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
0,-1,0.2,0.4,NaN
0,-1,0.0,0.1,NaN
0,0,0.2,0.3,NaN
180,0,0.0,0.2,NaN
0,-1,0.2,0.3,NaN
180,0,0.2,0.4,NaN
180,0,0.2,0.3,NaN
180,-1,0.2,0.4,NaN
180,-1,0.2,0.4,NaN
180,0,0.2,0.4,NaN
0,-1,0.2,0.4,NaN
180,-1,0.0,0.2,NaN
0,0,0.0,0.1,NaN
180,-1,0.2,0.25,NaN
180,100,0.2,0.3,NaN
180,-1,0.2,0.4,NaN
0,-1,0.2,0.25,NaN
0,-1,0.2,0.3,NaN
180,-1,0.2,0.3,NaN
180,-1,0.0,0.1,NaN
180,-1,0.2,0.25,NaN
180,0,0.2,0.25,NaN
0,-1,0.2,0.25,NaN
180,-1,0.2,0.3,NaN
180,-1,0.2,0.3,NaN
180,-1,0.0,0.1,NaN
180,-1,0.0,0.25,NaN
0,-1,0.2,0.3,NaN
0,-1,0.2,0.3,NaN
180,-1,0.2,0.4,NaN
0,0,0.0,0.4,NaN
0,0,0.0,0.1,NaN
0,0,0.2,0.3,NaN
0,-1,0.0,0.4,NaN
180,0,0.2,0.25,NaN
0,0,0.0,0.2,NaN
180,-1,0.2,0.25,NaN
180,0,0.0,0.25,NaN
180,-1,0.2,0.4,NaN
0,0,0.2,0.25,NaN
180,0,0.2,0.25,NaN
180,-1,0.2,0.3,NaN
180,0,0.2,0.4,NaN
180,-1,0.2,0.25,NaN
0,-1,0.2,0.3,NaN
0,-1,0.0,0.6,NaN
180,0,0.2,0.25,NaN
180,0,0.2,0.3,NaN
0,-1,0.2,0.25,NaN
0,0,0.2,0.4,NaN
0,-1,0.2,0.6,NaN
180,0,0.2,0.3,NaN
180,-1,0.0,0.3,NaN
0,0,0.0,0.1,NaN
180,0,0.2,0.4,NaN
0,0,0.2,0.3,NaN
0,-1,0.2,0.3,NaN
180,-1,0.0,0.2,NaN
0,-1,0.2,0.3,NaN
0,-1,0.2,0.4,NaN
180,-1,0.2,0.3,NaN
180,-1,0.0,0.2,NaN
180,-1,0.0,0.1,NaN
0,0,0.2,0.4,NaN
0,0,0.0,0.2,NaN
0,-1,0.0,0.4,NaN
0,-1,0.0,0.2,NaN
180,0,0.2,0.4,NaN
180,0,0.2,0.3,NaN
0,0,0.0,0.2,NaN
180,0,0.2,0.25,NaN
180,-1,0.0,0.4,NaN
0,0,0.2,0.4,NaN
0,-1,0.2,0.4,NaN
0,-1,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
0,0,0.2,0.3,NaN
180,-1,0.2,0.3,NaN
180,-1,0.2,0.4,NaN
180,-1,0.0,0.1,NaN
0,-1,0.2,0.25,NaN
180,-1,0.2,0.4,NaN
180,0,0.0,0.25,NaN
0,-1,0.2,0.6,NaN
180,-1,0.0,0.2,NaN
180,0,0.2,0.6,NaN
180,-1,0.2,0.25,NaN
180,0,0.0,0.1,NaN
0,-1,0.2,0.3,NaN
180,0,0.0,0.1,NaN
0,-1,0.0,0.25,NaN
0,0,0.2,0.3,NaN
0,-1,0.2,0.25,NaN
0,-1,0.0,0.2,NaN
180,-1,0.2,0.6,NaN
0,-1,0.2,0.3,NaN
0,-1,0.2,0.3,NaN
0,-1,0.2,0.4,NaN
180,100,0.2,0.3,NaN
180,-1,0.2,0.4,NaN
180,0,0.2,0.4,NaN
180,0,0.2,0.3,NaN
0,100,0.2,0.3,NaN
0,0,0.2,0.25,NaN
180,-1,0.0,0.2,NaN
0,0,0.2,0.4,NaN
0,-1,0.0,0.1,NaN
180,0,0.2,0.4,NaN
0,-1,0.2,0.25,NaN
180,-1,0.0,0.1,NaN
180,0,0.2,0.3,NaN
0,-1,0.2,0.25,NaN
0,-1,0.0,0.1,NaN
180,-1,0.0,0.1,NaN
180,100,0.2,0.25,NaN
0,-1,0.2,0.4,NaN
180,-1,0.2,0.4,NaN
0,-1,0.2,0.4,NaN
0,0,0.2,0.4,NaN
0,-1,0.0,0.2,NaN
180,-1,0.2,0.3,NaN
0,0,0.2,0.4,NaN
180,-1,0.2,0.4,NaN
180,0,0.2,0.3,NaN
0,-1,0.2,0.25,NaN
0,-1,0.0,0.1,NaN
180,-1,0.2,0.25,NaN
180,100,0.2,0.25,NaN
0,0,0.2,0.6,NaN
180,-1,0.0,0.1,NaN
180,0,0.2,0.25,NaN
0,-1,0.2,0.4,NaN
0,-1,0.2,0.3,NaN
180,0,0.2,0.25,NaN
0,0,0.0,0.1,NaN
180,-1,0.2,0.3,NaN
180,0,0.2,0.3,NaN
0,0,0.2,0.3,NaN
0,0,0.2,0.4,NaN
180,0,0.0,0.2,NaN
0,0,0.0,0.2,NaN
180,0,0.0,0.2,NaN
0,-1,0.2,0.3,NaN
180,-1,0.2,0.25,NaN
0,-1,0.2,0.4,NaN
